MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS
10470,Wakefield/Woodlawn,Bronx,471,3339.54,14103.75,20,141.81,18.14,2597
10471,Fieldston/North Riverdale/Riverdale,Bronx,834,3925.21,21247.28,83,390.64,15.62,5338
10472,Soundview,Bronx,2116,3115.71,67913.94,188,276.82,21.76,9724
10473,Castle Hill/Clason Point/Soundview,Bronx,2044,3300.75,61925.28,136,219.62,19.28,10602
10474,Hunts Point,Bronx,342,2749.62,12438.07,21,168.84,20.02,1708
10475,Co-op City/Edenwald,Bronx,1801,4117.21,43743.21,174,397.78,21.09,8539
11004,Bellerose/Douglaston-Little Neck,Queens,612,3262.51,18758.55,67,357.17,14.75,4149
11096,,Queens,1,,,0,,100,1
11101,Astoria (South)/Long Island City/Sunnyside,Queens,680,1931.59,35204.11,38,107.94,9.77,6959
11102,Astoria (North),Queens,667,2043.95,32632.92,78,239.02,12.03,5544
11103,Astoria (North)/Astoria (South),Queens,609,1664.59,36585.65,52,142.13,10.52,5787
11104,Sunnyside,Queens,521,2102.87,24775.7,42,169.52,11.76,4430
11105,Ditmars Steinway,Queens,514,1431.96,35894.88,43,119.79,9.33,5510
11106,Astoria (South),Queens,701,1813.04,38664.4,52,134.49,11.74,5970
11109,Long Island City,Queens,56,1104.4,5070.64,2,39.44,5.72,979
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn,775,1272.41,60908.15,94,154.33,6.48,11968
11203,East Flatbush (North)/East Flatbush (South),Brooklyn,2187,2979.87,73392.42,242,329.73,19.61,11152
11204,Bensonhurst/Mapleton,Brooklyn,2124,2677.68,79322.45,142,179.02,17.06,12453
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Brooklyn,788,1790.37,44013.21,50,113.6,11.09,7103
11206,Williamsburg (South),Brooklyn,1721,2012.95,85496.61,153,178.95,13.08,13155
11207,Cypress Hills/East New York,Brooklyn,2254,2528.13,89156.75,214,240.03,17.92,12577
11208,Cypress Hills/East New York,Brooklyn,2561,2678.65,95607.69,246,257.3,19.5,13133
11209,Bay Ridge/Fort Hamilton,Brooklyn,1203,1793.35,67081.12,113,168.45,11.35,10601
11210,Flatlands/Midwood,Brooklyn,1790,2668.09,67089.29,149,222.09,17.86,10021
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),Brooklyn,2225,2234.06,99594.67,136,136.55,11.81,18839
11212,Ocean Hill-Brownsville,Brooklyn,2023,2541.78,79589.99,232,291.49,18.41,10988
11213,Crown Heights (East),Brooklyn,1494,2318.94,64425.94,145,225.06,15.21,9823
11214,Bath Beach/Bensonhurst/Gravesend,Brooklyn,1648,1765.71,93333.46,181,193.93,14.17,11630
11215,Gowanus/Park Slope/Windsor Terrace,Brooklyn,656,938.05,69932.3,46,65.78,6.1,10760
11216,Bedford-Stuyvesant (West)/Crown Heights (West),Brooklyn,806,1451.27,55537.72,74,133.24,9.41,8567
11217,Boerum Hill/Park Slope,Brooklyn,655,1379.63,47476.67,85,179.04,9.14,7169
11218,Kensington/Windsor Terrace,Brooklyn,1842,2429.87,75806.47,135,178.09,15.08,12211
11219,Borough Park,Brooklyn,3196,3441.81,92858.07,231,248.77,16.89,18918
11220,Sunset Park,Brooklyn,1726,1753.17,98450,163,165.57,15.14,11404
11221,Bedford-Stuyvesant (East)/Bushwick,Brooklyn,1419,1737.43,81672.44,145,177.54,12.36,11483
11222,Greenpoint,Brooklyn,493,1356.29,36349.16,32,88.04,7,7046
11223,Gravesend/Homecrest,Brooklyn,1813,2267.47,79957.11,144,180.1,16.3,11124
11224,Brighton Beach/Coney Island/Seagate,Brooklyn,1302,2926.68,44487.34,210,472.04,18.76,6940
11225,Crown Heights (West)/Prospect Lefferts Gardens,Brooklyn,1222,2117.43,57711.49,138,239.12,13.71,8913
11226,Flatbush/Prospect Lefferts Gardens,Brooklyn,2468,2491.39,99061.32,302,304.86,16.58,14885
11228,Bath Beach/Dyker Heights,Brooklyn,716,1619.36,44215.08,81,183.2,14.13,5068
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,Brooklyn,1867,2198.82,84909.16,149,175.48,12.18,15331
11230,Midwood,Brooklyn,2486,2788.07,89165.77,227,254.58,16.2,15342
11231,Carroll Gardens/Cobble Hill/Red Hook,Brooklyn,446,1205.58,36994.7,34,91.91,7.58,5885
11232,Sunset Park,Brooklyn,587,2076.33,28271.09,42,148.56,14.7,3993
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Brooklyn,1360,1885.08,72145.54,136,188.51,15.82,8598
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,Brooklyn,2339,2454.23,95304.8,194,203.56,18.2,12852
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,Brooklyn,2155,2709.32,79540.14,296,372.14,16.3,13222
11236,Canarsie,Brooklyn,2886,2979.96,96846.99,297,306.67,20.77,13894
11237,Bushwick/East Williamsburg,Brooklyn,1062,2094.85,50695.72,114,224.87,13.48,7881
11238,Clinton Hill/Prospect Heights,Brooklyn,848,1569.91,54015.79,103,190.68,8.52,9957
11239,East New York,Brooklyn,551,4438.76,12413.37,89,716.97,17.78,3099
11354,Flushing/Murray Hill,Queens,1326,2388.4,55518.32,293,527.75,13.11,10113
11355,Flushing/Murray Hill/Queensboro Hill,Queens,1477,1845.93,80013.97,166,207.46,13.53,10918
11356,College Point,Queens,598,2564.02,23322.74,42,180.08,17.37,3442
11357,Whitestone,Queens,867,2168.82,39975.56,103,257.66,14.48,5988
11358,Auburndale/Murray Hill,Queens,616,1733.19,35541.5,43,120.99,11.66,5283
11360,Bayside (North),Queens,331,1754.74,18863.17,27,143.14,10.89,3039
11361,Bayside (North)/Bayside (South),Queens,478,1708.85,27971.99,57,203.78,12.14,3936
11362,Douglaston-Little Neck,Queens,339,1911.15,17738.01,35,197.32,13.33,2544
11363,Douglaston-Little Neck,Queens,103,1438.74,7159.03,5,69.84,11.34,908
11364,Bayside (South)/Oakland Gardens,Queens,482,1394.57,34562.6,35,101.27,11.19,4307
